variety_id,variety_slug,category,label,url,type
159,collard-greens-georgia-southern,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170406/nutrients,usda
160,arugula-rocket,brassica,NC State Extension,https://plants.ces.ncsu.edu/plants/eruca-vesicaria/,extension
160,arugula-rocket,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
161,purple-top-turnip,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170465/nutrients,usda
162,red-russian-kale,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168421/nutrients,usda
164,snowball-y-improved-cauliflower,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685573/nutrients,usda
166,pea-shoots,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
167,sunflower-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2515381/nutrients,usda
168,red-cabbage-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169975/nutrients,usda
169,arugula-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
170,radish-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169276/nutrients,usda
171,broccoli-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
172,kale-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168421/nutrients,usda
173,cilantro-microgreens,microgreen,NC State Extension,https://plants.ces.ncsu.edu/plants/coriandrum-sativum/,extension
173,cilantro-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169997/nutrients,usda
174,beet-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685576/nutrients,usda
175,mustard-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
177,basil-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
178,amaranth-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
179,wheatgrass-microgreens,microgreen,NC State Extension,https://plants.ces.ncsu.edu/plants/triticum-aestivum/,extension
179,wheatgrass-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
180,fenugreek-microgreens,microgreen,NC State Extension,https://plants.ces.ncsu.edu/plants/trigonella-foenum-graecum/,extension
180,fenugreek-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
181,mung-bean-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
182,chia-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
183,lemon-balm-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167747/nutrients,usda
184,purple-kohlrabi-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168424/nutrients,usda
185,alfalfa-microgreens,microgreen,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167782/nutrients,usda
186,purple-top-walla-walla,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
187,music-hardneck-garlic,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/1104647/nutrients,usda
188,evergreen-hardy-white,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
189,giant-red-beard,allium,NC State Extension,https://plants.ces.ncsu.edu/plants/allium-hollandicum/,extension
189,giant-red-beard,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
190,french-gray-shallot,allium,NC State Extension,https://plants.ces.ncsu.edu/plants/allium-cepa/,extension
190,french-gray-shallot,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170499/nutrients,usda
191,yellow-sweet-spanish-onion,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
192,italian-red-torpedo-onion,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
193,georgia-fire-garlic,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/1104647/nutrients,usda
194,red-carpet-chives,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169994/nutrients,usda
195,candy-onion,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
196,stuttgart,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
197,rossa-di-milano,allium,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/rossa-di-milano-organic-onion-seed-3454G.html,breeder
197,rossa-di-milano,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
198,giant-musselburgh,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
199,siberian-garlic,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/1104647/nutrients,usda
200,purplette,allium,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/onions/mini-onions/purplette-onion-seed-499.html,breeder
